,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shaylee Gonzales,5,13,4,10,1,3,5,7,2,7,0,0,1,2,2,16,0.38461538461538464,0.0
1,Maria Albiero,1,5,1,3,0,2,0,0,1,0,3,0,0,5,4,2,0.0,0.6
2,Lauren Gustin,4,10,4,9,0,1,0,0,3,8,2,1,0,3,3,8,0.0,0.6666666666666666
3,Paisley Harding,1,9,1,8,0,1,0,0,1,3,0,0,0,3,2,2,0.0,0.0
4,Sara Hamson,1,1,1,1,0,0,0,0,0,5,0,0,2,0,3,2,0.0,0.0
7,School Totals,18,51,13,33,5,18,5,7,7,28,8,3,4,13,17,46,0.09803921568627451,0.6153846153846154
