,Cal State Northridge ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashlee Guay,11,23,8,17,3,6,2,2,2,1,4,4,0,4,2,27,0.08695652173913043,1.0
1,Janae Sharpe,2,12,2,9,0,3,0,0,3,3,1,0,1,3,0,4,0.0,0.3333333333333333
2,Cinnamon Lister,2,10,2,6,0,4,0,0,0,2,0,1,0,4,2,4,0.0,0.0
3,Camille Mahlknecht,4,7,4,7,0,0,0,0,3,3,0,2,1,0,4,8,0.0,0.0
4,Randi Friess,0,4,0,1,0,3,0,0,0,3,0,0,0,1,2,0,0.0,0.0
11,School Totals,25,69,19,45,6,24,4,5,11,16,6,8,3,12,19,60,0.057971014492753624,0.5
