,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,8,19,6,14,2,5,8,8,0,5,8,1,0,5,4,26,0.42105263157894735,1.6
1,Talia Walton,5,15,5,12,0,3,2,2,1,6,2,3,1,2,1,12,0.13333333333333333,1.0
2,Alexus Atchley,4,5,3,3,1,2,2,2,0,2,0,0,1,1,3,11,0.4,0.0
3,Chantel Osahor,8,11,5,6,3,5,5,6,2,16,2,1,2,0,4,24,0.45454545454545453,0.0
4,Katie Collier,2,5,2,5,0,0,2,4,2,1,0,0,4,0,3,6,0.4,0.0
10,School Totals,29,59,21,40,8,19,19,22,5,31,12,5,8,9,16,85,0.3220338983050847,1.3333333333333333
