,Alabama State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Britney Wright,2,9,1,6,1,3,2,2,0,4,0,0,0,2,2,7,0.2222222222222222,0.0
1,Jasmine Peeples,0,6,0,6,0,0,1,2,1,2,0,0,2,1,3,1,0.16666666666666666,0.0
2,Elisiah Jones,1,4,1,4,0,0,2,2,0,1,3,1,0,2,2,4,0.5,1.5
3,Kayla Stephens,2,4,2,4,0,0,0,0,0,1,0,0,0,0,3,4,0.0,0.0
4,Durriya Sampson,0,5,0,4,0,1,2,2,0,1,3,1,0,2,2,2,0.4,1.5
13,School Totals,12,54,6,37,6,17,12,16,5,18,9,3,2,17,22,42,0.2222222222222222,0.5294117647058824
