,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine James,4,17,1,11,3,6,1,2,1,3,2,5,0,1,3,12,0.058823529411764705,2.0
1,Khaalidah Miller,6,13,1,1,5,12,4,4,0,1,2,2,1,4,3,21,0.3076923076923077,0.5
2,Jasmine Hassell,3,5,3,5,0,0,0,0,3,3,0,0,1,1,2,6,0.0,0.0
3,Anne Marie Armstrong,3,7,3,6,0,1,0,0,3,0,1,0,0,5,4,6,0.0,0.2
4,Meredith Mitchell,7,12,6,9,1,3,0,0,2,2,0,3,0,1,5,15,0.0,0.0
8,School Totals,27,67,17,43,10,24,6,8,14,19,8,13,2,14,21,70,0.08955223880597014,0.5714285714285714
