,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddie Manning,3,13,3,7,0,6,1,2,2,6,2,1,1,0,2,7,0.07692307692307693,0.0
1,Gabbi Ortiz,7,11,3,4,4,7,0,0,0,4,0,1,0,2,4,18,0.0,0.0
2,Shaina Pellington,5,9,5,9,0,0,4,6,0,4,2,0,0,4,3,14,0.4444444444444444,0.5
3,Vionise Pierre-Louis,7,9,7,9,0,0,7,11,4,2,0,0,1,2,1,21,0.7777777777777778,0.0
4,Ana Llanusa,1,7,1,4,0,3,11,12,1,0,1,4,0,2,5,13,1.5714285714285714,0.5
8,School Totals,25,61,21,42,4,19,25,33,8,24,15,9,2,12,19,79,0.4098360655737705,1.25
