,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kaylee Jensen,7,16,6,11,1,5,3,3,0,7,0,1,0,0,3,18,0.1875,0.0
1,Loryn Goodwin,4,14,3,11,1,3,5,6,1,8,8,1,0,3,4,14,0.35714285714285715,2.6666666666666665
2,Mandy Coleman,4,7,2,3,2,4,2,2,0,5,0,0,3,2,4,12,0.2857142857142857,0.0
3,Jaden Hobbs,0,1,0,0,0,1,0,0,1,2,1,0,1,0,3,0,0.0,0.0
4,Braxtin Miller,5,12,4,9,1,3,1,2,0,2,2,0,1,3,3,12,0.08333333333333333,0.6666666666666666
10,School Totals,20,51,15,34,5,17,11,13,3,25,12,2,6,10,17,56,0.21568627450980393,1.2
