,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kalisha Keane,7,14,4,8,3,6,0,1,1,5,6,2,3,3,2,17,0.0,2.0
1,Brittney Thomas,3,9,2,7,1,2,0,0,1,2,3,1,0,4,3,7,0.0,0.75
2,Taylor Alton,5,11,1,2,4,9,0,0,0,2,0,0,0,1,0,14,0.0,0.0
3,Cetera Washington,5,6,5,6,0,0,1,3,1,6,2,1,2,0,5,11,0.16666666666666666,0.0
4,Lykendra Johnson,5,8,5,7,0,1,2,2,2,5,3,2,0,2,3,12,0.25,1.5
9,School Totals,28,60,20,40,8,20,5,10,7,26,17,8,6,12,16,69,0.08333333333333333,1.4166666666666667
