,Pittsburgh ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Kiesel,11,24,10,21,1,3,9,13,1,4,2,3,0,6,3,32,0.375,0.3333333333333333
1,Aysia Bugg,2,4,2,4,0,0,1,2,0,2,4,1,0,0,5,5,0.25,0.0
2,Yacine Diop,7,12,6,10,1,2,3,4,3,6,0,2,0,1,2,18,0.25,0.0
3,Monica Wignot,2,8,1,3,1,5,0,0,3,3,0,1,5,3,4,5,0.0,0.0
4,Stasha Carey,0,4,0,4,0,0,0,0,2,1,0,1,1,1,3,0,0.0,0.0
8,School Totals,25,58,21,45,4,13,13,19,9,18,8,8,6,11,19,67,0.22413793103448276,0.7272727272727273
