,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany McPhee,3,13,2,10,1,3,1,2,0,2,3,1,1,6,3,8,0.07692307692307693,0.5
1,Erica McCall,7,19,7,16,0,3,0,0,9,5,1,0,2,1,1,14,0.0,1.0
2,Karlie Samuelson,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.0,0.0
3,Briana Roberson,2,4,1,2,1,2,0,0,0,1,3,1,0,2,1,5,0.0,1.5
4,Kaylee Johnson,1,2,1,2,0,0,0,0,1,4,0,2,0,1,0,2,0.0,0.0
9,School Totals,23,62,19,48,4,14,3,5,12,24,13,8,5,15,16,53,0.04838709677419355,0.8666666666666667
