,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caitlin Clark,4,19,1,9,3,10,4,4,0,8,11,1,2,1,3,15,0.21052631578947367,11.0
1,McKenna Warnock,3,9,3,7,0,2,0,0,4,3,4,2,1,1,1,6,0.0,4.0
2,Kate Martin,2,9,2,5,0,4,0,0,1,3,1,2,0,1,1,4,0.0,1.0
3,Gabbie Marshall,2,7,0,1,2,6,0,0,0,4,0,1,1,0,2,6,0.0,0.0
4,Monika Czinano,12,20,12,20,0,0,3,4,1,5,2,0,0,1,2,27,0.15,2.0
8,School Totals,25,70,20,48,5,22,7,8,7,25,18,9,5,5,10,62,0.1,3.6
