,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shoni Schimmel,12,29,7,17,5,12,2,3,1,4,4,5,0,7,1,31,0.06896551724137931,0.5714285714285714
1,Asia Taylor,4,10,4,10,0,0,4,4,4,4,6,1,0,4,4,12,0.4,1.5
2,Antonita Slaughter,6,11,4,4,2,7,2,2,2,3,0,0,1,1,2,16,0.18181818181818182,0.0
3,Sara Hammond,1,5,1,5,0,0,0,0,3,0,0,3,0,1,3,2,0.0,0.0
4,Bria Smith,0,0,0,0,0,0,0,0,2,2,2,2,0,2,4,0,0.0,1.0
9,School Totals,27,69,19,45,8,24,11,13,13,22,15,18,1,21,21,73,0.15942028985507245,0.7142857142857143
