,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,8,13,8,12,0,1,6,8,4,9,2,3,0,3,3,22,0.46153846153846156,0.6666666666666666
1,Lexie Brown,5,14,4,6,1,8,9,10,0,6,4,0,0,4,4,20,0.6428571428571429,1.0
2,Alicia DeVaughn,3,4,3,4,0,0,0,0,0,8,1,2,2,5,5,6,0.0,0.2
3,Katie Rutan,4,6,0,0,4,6,0,0,0,0,0,1,0,1,2,12,0.0,0.0
4,Brionna Jones,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.0,0.0
9,School Totals,23,54,18,34,5,20,25,28,8,30,10,13,3,25,17,76,0.46296296296296297,0.4
