,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Logic,6,15,6,12,0,3,1,2,5,5,14,2,0,1,4,13,0.06666666666666667,14.0
1,Melissa Dixon,4,14,2,4,2,10,0,0,0,0,0,1,0,3,4,10,0.0,0.0
2,Whitney Jennings,3,8,1,3,2,5,0,0,0,4,0,0,0,0,2,8,0.0,0.0
3,Ally Disterhoft,1,8,0,6,1,2,0,0,1,4,1,0,0,4,2,3,0.0,0.25
4,Bethany Doolitte,8,14,8,14,0,0,0,0,2,5,0,1,5,0,3,16,0.0,0.0
10,School Totals,28,69,21,46,7,23,3,7,9,21,15,4,6,8,17,66,0.043478260869565216,1.875
