,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nyara Sabally,12,24,12,23,0,1,7,8,4,8,3,3,7,2,3,31,0.2916666666666667,1.5
1,Endyia Rogers,2,8,2,6,0,2,2,4,1,5,5,1,0,2,4,6,0.25,2.5
2,Te-Hina Paopao,8,17,6,9,2,8,0,0,2,4,2,2,1,5,3,18,0.0,0.4
3,Sedona Prince,4,10,4,9,0,1,1,2,4,5,2,0,1,2,2,9,0.1,1.0
4,Sydney Parrish,0,4,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0.0,0.0
9,School Totals,28,74,24,53,4,21,10,14,15,34,15,7,12,17,18,70,0.13513513513513514,0.8823529411764706
