,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tuti Jones,8,11,4,7,4,4,2,4,3,3,1,4,0,2,1,22,0.18181818181818182,0.5
1,Destinee Wells,4,14,4,11,0,3,8,9,0,4,7,2,0,1,2,16,0.5714285714285714,7.0
2,Jamilyn Kinney,2,6,0,0,2,6,0,0,0,5,3,1,0,2,0,6,0.0,1.5
3,Conley Chinn,4,12,2,5,2,7,0,0,0,1,1,1,0,1,1,10,0.0,1.0
4,Madison Bartley,3,10,1,4,2,6,0,0,2,5,2,0,1,0,4,8,0.0,0.0
9,School Totals,25,71,13,35,12,36,11,17,7,29,17,11,1,9,13,73,0.15492957746478872,1.8888888888888888
