,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shayla Cooper,6,12,5,10,1,2,4,5,2,5,3,0,2,3,2,17,0.3333333333333333,1.0
1,Asia Doss,5,7,3,5,2,2,4,7,1,7,5,0,0,1,2,16,0.5714285714285714,5.0
2,Kelsey Mitchell,10,21,6,11,4,10,3,4,0,3,6,0,1,5,3,27,0.14285714285714285,1.2
3,Cait Craft,2,5,1,3,1,2,0,2,2,4,3,2,0,0,2,5,0.0,0.0
4,Alexa Hart,3,5,3,5,0,0,1,2,3,2,0,2,5,0,3,7,0.2,0.0
8,School Totals,33,63,25,46,8,17,14,26,9,32,19,6,10,15,19,88,0.2222222222222222,1.2666666666666666
