,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Robertson,5,11,1,1,4,10,8,9,0,4,4,0,2,0,1,22,0.7272727272727273,0.0
1,Kennady Tucker,0,3,0,2,0,1,0,2,2,2,3,3,1,1,1,0,0.0,3.0
2,Nevaeh Tot,4,7,2,4,2,3,0,0,0,8,1,1,0,0,2,10,0.0,0.0
3,Madi Williams,9,14,9,14,0,0,3,5,0,6,2,0,0,2,2,21,0.21428571428571427,1.0
4,Liz Scott,2,7,2,4,0,3,2,2,3,2,1,0,1,0,5,6,0.2857142857142857,0.0
10,School Totals,27,63,19,40,8,23,16,24,8,32,16,7,4,10,15,78,0.25396825396825395,1.6
