,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Missouri State,75.5,0.27,16.5,20.9,0.19,60.5
1,Stanford,75.5,0.272,13.1,32.7,0.265,72.4
