,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,April Sykes,9,16,7,11,2,5,2,2,1,5,2,2,0,1,1,22,0.125,2.0
1,Erica Wheeler,3,10,2,5,1,5,0,0,0,5,3,2,0,1,2,7,0.0,3.0
2,Daisha Simmons,2,5,1,4,1,1,0,0,2,2,3,0,0,0,1,5,0.0,0.0
3,Khadijah Rushdan,4,8,4,8,0,0,8,10,2,8,4,3,1,1,3,16,1.0,4.0
4,Chelsey Lee,5,8,5,8,0,0,1,2,3,8,0,1,3,1,3,11,0.125,0.0
10,School Totals,28,55,23,42,5,13,15,18,8,36,18,9,6,12,21,76,0.2727272727272727,1.5
