,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,8,18,6,11,2,7,7,7,0,5,6,2,0,1,2,25,0.3888888888888889,6.0
1,Rebecca Greenwell,3,11,3,5,0,6,0,0,5,4,3,2,0,5,4,6,0.0,0.6
2,Kendall Cooper,4,5,4,5,0,0,1,2,2,7,2,4,3,1,3,9,0.2,2.0
3,Leaonna Odom,2,7,2,7,0,0,0,1,2,2,0,0,2,1,3,4,0.0,0.0
4,Erin Mathias,1,6,1,5,0,1,0,0,2,0,0,0,0,1,0,2,0.0,0.0
8,School Totals,26,67,24,52,2,15,11,14,14,22,15,9,7,12,18,65,0.16417910447761194,1.25
