,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,3,8,2,4,1,4,6,8,3,5,6,2,1,1,0,13,0.75,6.0
1,Ruthy Hebard,9,14,9,14,0,0,2,4,3,12,0,2,1,2,1,20,0.14285714285714285,0.0
2,Lexi Bando,5,14,1,2,4,12,0,0,1,1,5,0,0,1,1,14,0.0,5.0
3,Maite Cazorla,5,12,1,4,4,8,3,5,1,1,6,0,0,4,3,17,0.25,1.5
4,Mallory McGwire,2,4,2,4,0,0,0,0,0,2,2,0,2,1,3,4,0.0,2.0
8,School Totals,26,58,17,32,9,26,13,19,9,22,20,6,4,11,11,74,0.22413793103448276,1.8181818181818181
