,Villanova ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lucy Olsen,4,12,3,7,1,5,0,0,0,3,3,6,0,1,4,9,0.0,3.0
1,Maddy Siegrist,10,22,9,16,1,6,4,6,5,2,3,1,2,1,2,25,0.18181818181818182,3.0
2,Brianna Herlihy,1,5,1,3,0,2,3,7,0,9,3,1,0,2,2,5,0.6,1.5
3,Brooke Mullin,1,4,0,0,1,4,0,0,1,4,2,0,1,1,1,3,0.0,2.0
4,Lior Garzon,1,4,0,1,1,3,0,0,0,2,0,0,0,1,2,3,0.0,0.0
9,School Totals,22,59,16,33,6,26,11,17,9,22,14,9,4,8,15,61,0.1864406779661017,1.75
