,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paisley Harding,6,17,5,12,1,5,8,8,0,4,3,1,0,3,2,21,0.47058823529411764,1.0
1,Shaylee Gonzales,3,14,2,11,1,3,1,2,1,5,8,3,0,5,2,8,0.07142857142857142,1.6
2,Lauren Gustin,4,8,4,8,0,0,0,0,4,9,0,1,0,1,2,8,0.0,0.0
3,Tegan Graham,4,8,1,1,3,7,0,2,0,8,2,0,0,3,4,11,0.0,0.6666666666666666
4,Maria Albiero,2,2,1,1,1,1,0,0,1,2,0,0,0,2,3,5,0.0,0.0
8,School Totals,21,54,15,37,6,17,9,12,7,29,14,6,1,16,15,57,0.16666666666666666,0.875
